ID,档位,类型,主题,需明确同意,来源,题目
v9-d2-0899,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于拖延的即兴故事，必须出现“耳机”。
v9-d2-0900,标准,大冒险,语言限制,否,v9-expansion,用反问句表达你对“如何请求帮助”的真实看法。
v9-d2-0901,标准,大冒险,即兴表达,否,v9-expansion,假装参加访谈，用十秒回答：“你怎样看待保守秘密？”
v9-d2-0902,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“如何请求帮助”，但不能使用“别人”这个词。
v9-d2-0903,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于第一印象的即兴故事，必须出现“便利店”。
v9-d2-0904,标准,大冒险,语言限制,否,v9-expansion,用一句不超过十二个字的话回答：“什么是成熟？”
v9-d2-0905,标准,大冒险,即兴表达,否,v9-expansion,把“拖延”解释给一个完全没听说过的人，限时二十秒。
v9-d2-0906,标准,大冒险,语言限制,否,v9-expansion,用一句不超过十个字的话回答：“怎样守住边界？”
v9-d2-0907,标准,大冒险,即兴表达,否,v9-expansion,把“独处”解释给一个完全没听说过的人，限时二十秒。
v9-d2-0908,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“如何请求帮助”，但不能使用“自己”这个词。
v9-d2-0909,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于误会的即兴故事，必须出现“雨伞”。
v9-d2-0910,标准,大冒险,语言限制,否,v9-expansion,用一句不超过八个字的话回答：“怎样判断朋友是否真诚？”
v9-d2-0911,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于请求帮助的即兴故事，必须出现“雨伞”。
v9-d2-0912,标准,大冒险,语言限制,否,v9-expansion,用反问句表达你对“怎样判断朋友是否真诚”的真实看法。
v9-d2-0913,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于网络社交的即兴故事，必须出现“雨伞”。
v9-d2-0914,标准,大冒险,语言限制,否,v9-expansion,用一句不超过十二个字的话回答：“什么是可靠？”
v9-d2-0915,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于独处的即兴故事，必须出现“耳机”。
v9-d2-0916,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“什么是成熟”，但不能使用“因为”这个词。
v9-d2-0917,标准,大冒险,即兴表达,否,v9-expansion,假装参加访谈，用十秒回答：“你怎样看待迟到？”
v9-d2-0918,标准,大冒险,语言限制,否,v9-expansion,用一句不超过十二个字的话回答：“怎样守住边界？”
v9-d2-0919,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于请求帮助的即兴故事，必须出现“耳机”。
v9-d2-0920,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“怎样守住边界”，但不能使用“因为”这个词。
v9-d2-0921,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于第一印象的即兴故事，必须出现“雨伞”。
v9-d2-0922,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“为什么要道歉”，但不能使用“感觉”这个词。
v9-d2-0923,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于迟到的即兴故事，必须出现“月亮”。
v9-d2-0924,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“什么是成熟”，但不能使用“别人”这个词。
v9-d2-0925,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于社交尴尬的即兴故事，必须出现“便利店”。
v9-d2-0926,标准,大冒险,语言限制,否,v9-expansion,在二十秒内解释“为什么要道歉”，但不能使用“朋友”这个词。
v9-d2-0927,标准,大冒险,即兴表达,否,v9-expansion,用二十秒讲一个关于网络社交的即兴故事，必须出现“耳机”。
v9-d2-0928,标准,大冒险,语言限制,否,v9-expansion,用一句不超过十个字的话回答：“怎样判断朋友是否真诚？”
t301,大胆,真心话,历史题库,否,v8,现场谁最接近你的理想型？可以只说特质。
t302,大胆,真心话,历史题库,否,v8,你有没有喜欢过一个不该喜欢的人？
t303,大胆,真心话,历史题库,否,v8,你最近一次心动是什么时候、因为什么？
t304,大胆,真心话,历史题库,否,v8,你在感情中最容易重复犯什么错误？
t305,大胆,真心话,历史题库,否,v8,你有没有错过一个现在想来很可惜的人？
t306,大胆,真心话,历史题库,否,v8,你最怕伴侣发现自己的哪一面？
t307,大胆,真心话,历史题库,否,v8,你曾经因为嫉妒做过什么不太理智的事？
t308,大胆,真心话,历史题库,否,v8,如果可以匿名问前任一个问题，你会问什么？
t309,大胆,真心话,历史题库,否,v8,你有没有明知道没有结果却仍然坚持过的关系？
t310,大胆,真心话,历史题库,否,v8,你最难释怀的一次告别是什么？
t311,大胆,真心话,历史题库,否,v8,你更害怕失去爱，还是失去自由？为什么？
t312,大胆,真心话,历史题库,否,v8,你曾经偷偷比较过自己和谁？
t313,大胆,真心话,历史题库,否,v8,你在亲密关系中最需要但最难开口的需求是什么？
t314,大胆,真心话,历史题库,否,v8,你有没有故意冷落过一个其实很在意的人？
t315,大胆,真心话,历史题库,否,v8,你最希望现场哪位玩家进一步了解你？
t316,大胆,真心话,历史题库,否,v8,你曾经因为害怕失去而隐瞒过什么感受？
t317,大胆,真心话,历史题库,否,v8,你认为自己最难被爱的一面是什么？
t318,大胆,真心话,历史题库,否,v8,你现在最想对某个人说、但一直没说的话是什么？
v9-t3-0929,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于开始异地的决定？
v9-t3-0930,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少边界而逐渐失望吗？
v9-t3-0931,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在感到嫉妒时愿意说真话？为什么？
v9-t3-0932,大胆,真心话,大胆坦白,否,v9-expansion,你有没有因为害怕孤独而留在一段不适合的关系里？
v9-t3-0933,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在照顾家人的责任和关系之间做选择，你会怎么做？
v9-t3-0934,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为不愿先低头错过一个可能喜欢你的人吗？
v9-t3-0935,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少个人空间的关系还能维持多久？
v9-t3-0936,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“在合适时机明确表达”的方式表达？
v9-t3-0937,大胆,真心话,大胆坦白,否,v9-expansion,你有没有享受过别人喜欢你，却不打算回应？
v9-t3-0938,大胆,真心话,边界与信任,否,v9-expansion,关于独处时间，你的底线是否曾经因为一个人而改变？
v9-t3-0939,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“公开支持你”时，你最容易突然心动吗？
v9-t3-0940,大胆,真心话,关系坦白,否,v9-expansion,你在想要独处这件事上做过最不坦诚的选择是什么？
v9-t3-0941,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在面对失去时愿意说真话？为什么？
v9-t3-0942,大胆,真心话,大胆坦白,否,v9-expansion,你最想让哪一段关系重新开始一次？
v9-t3-0943,大胆,真心话,边界与信任,否,v9-expansion,关于与潜在对象的距离，你的底线是否曾经因为一个人而改变？
v9-t3-0944,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“幽默化解尴尬”时，你最容易突然心动吗？
v9-t3-0945,大胆,真心话,关系坦白,否,v9-expansion,你有没有在喜欢一个人时故意隐藏真实感受？为什么？
v9-t3-0946,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在需要做决定时愿意说真话？为什么？
v9-t3-0947,大胆,真心话,大胆坦白,否,v9-expansion,你现在最怕听到谁对你说哪一句话？
v9-t3-0948,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“在背后贬低你”时，你会把它视为背叛吗？
v9-t3-0949,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把崇拜误认为爱情或喜欢？后来怎样发现的？
v9-t3-0950,大胆,真心话,关系坦白,否,v9-expansion,关于想结束关系，你最害怕别人发现你的哪种想法？
v9-t3-0951,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中遇事逃避的人？可以只说特质。
v9-t3-0952,大胆,真心话,大胆坦白,否,v9-expansion,你有没有把“为你好”当作控制别人的理由？
v9-t3-0953,大胆,真心话,边界与信任,否,v9-expansion,关于异地安排，你的底线是否曾经因为一个人而改变？
v9-t3-0954,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“主动承担责任”时，你最容易突然心动吗？
v9-t3-0955,大胆,真心话,关系坦白,否,v9-expansion,关于想重新开始，你最害怕别人发现你的哪种想法？
v9-t3-0956,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在需要承认脆弱时愿意说真话？为什么？
v9-t3-0957,大胆,真心话,大胆坦白,否,v9-expansion,你曾经为了保住一段关系放弃过哪条原则？
v9-t3-0958,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在债务上对你有所保留吗？
v9-t3-0959,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于重新联系的决定？
v9-t3-0960,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少承诺，你会努力修复还是离开？
v9-t3-0961,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在情绪低落时愿意说真话？为什么？
v9-t3-0962,大胆,真心话,大胆坦白,否,v9-expansion,你最不愿承认自己还在意哪一个人或哪件事？
v9-t3-0963,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在与家人的矛盾上对你有所保留吗？
v9-t3-0964,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“强烈反差感”时，你最容易突然心动吗？
v9-t3-0965,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少边界的关系还能维持多久？
v9-t3-0966,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“先坦白自己的顾虑”的方式表达？
v9-t3-0967,大胆,真心话,大胆坦白,否,v9-expansion,你有没有在分开后故意展示自己过得很好？
v9-t3-0968,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在真实情绪上对你有所保留吗？
v9-t3-0969,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于分手的决定？
v9-t3-0970,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少稳定回应而逐渐失望吗？
v9-t3-0971,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历长期异地，你会选谁？
v9-t3-0972,大胆,真心话,大胆坦白,否,v9-expansion,你有没有明知道对方会受伤，仍选择隐瞒一件重要的事？
v9-t3-0973,大胆,真心话,边界与信任,否,v9-expansion,关于共同财务，你的底线是否曾经因为一个人而改变？
v9-t3-0974,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为身份差异错过一个可能喜欢你的人吗？
v9-t3-0975,大胆,真心话,关系坦白,否,v9-expansion,你有没有在想要独处时故意隐藏真实感受？为什么？
v9-t3-0976,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“告诉你对方能接受被拒绝”的方式表达？
v9-t3-0977,大胆,真心话,大胆坦白,否,v9-expansion,你最难原谅自己在一段关系里做过的什么决定？
v9-t3-0978,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在未来城市上对你有所保留吗？
v9-t3-0979,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把竞争欲误认为爱情或喜欢？后来怎样发现的？
v9-t3-0980,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少尊重而逐渐失望吗？
v9-t3-0981,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中容易吃醋的人？可以只说特质。
v9-t3-0982,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“反复失约”时，你会把它视为背叛吗？
v9-t3-0983,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于接受追求的决定？
v9-t3-0984,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少信任，你会努力修复还是离开？
v9-t3-0985,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中需要空间的人？可以只说特质。
v9-t3-0986,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在与前任的联系上对你有所保留吗？
v9-t3-0987,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把习惯误认为爱情或喜欢？后来怎样发现的？
v9-t3-0988,大胆,真心话,关系坦白,否,v9-expansion,你有没有在发生争吵时故意隐藏真实感受？为什么？
v9-t3-0989,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历照顾生病的朋友，你会选谁？
v9-t3-0990,大胆,真心话,边界与信任,否,v9-expansion,关于工作与关系的优先级，你的底线是否曾经因为一个人而改变？
v9-t3-0991,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为顾虑朋友看法错过一个可能喜欢你的人吗？
v9-t3-0992,大胆,真心话,关系坦白,否,v9-expansion,你在信任动摇这件事上做过最不坦诚的选择是什么？
v9-t3-0993,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中嘴硬心软的人？可以只说特质。
v9-t3-0994,大胆,真心话,边界与信任,否,v9-expansion,关于公开关系，你的底线是否曾经因为一个人而改变？
v9-t3-0995,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把占有欲误认为爱情或喜欢？后来怎样发现的？
v9-t3-0996,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少耐心，你会努力修复还是离开？
v9-t3-0997,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中过度付出的人？可以只说特质。
v9-t3-0998,大胆,真心话,边界与信任,否,v9-expansion,关于家庭介入程度，你的底线是否曾经因为一个人而改变？
v9-t3-0999,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“认真倾听”时，你最容易突然心动吗？
v9-t3-1000,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少沟通的关系还能维持多久？
v9-t3-1001,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中很快投入感情的人？可以只说特质。
v9-t3-1002,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在个人兴趣和关系之间做选择，你会怎么做？
v9-t3-1003,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于删除联系方式的决定？
v9-t3-1004,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少尊重的关系还能维持多久？
v9-t3-1005,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“先从朋友开始”的方式表达？
v9-t3-1006,大胆,真心话,边界与信任,否,v9-expansion,关于争吵时的语言，你的底线是否曾经因为一个人而改变？
v9-t3-1007,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为上一段关系未结束错过一个可能喜欢你的人吗？
v9-t3-1008,大胆,真心话,关系坦白,否,v9-expansion,你在对方道歉这件事上做过最不坦诚的选择是什么？
v9-t3-1009,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“给你充分考虑时间”的方式表达？
v9-t3-1010,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在社交账号上对你有所保留吗？
v9-t3-1011,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为自尊心错过一个可能喜欢你的人吗？
v9-t3-1012,大胆,真心话,关系坦白,否,v9-expansion,你有没有在想结束关系时故意隐藏真实感受？为什么？
v9-t3-1013,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“通过共同朋友试探”的方式表达？
v9-t3-1014,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“替你做重大决定”时，你会把它视为背叛吗？
v9-t3-1015,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为误会太深错过一个可能喜欢你的人吗？
v9-t3-1016,大胆,真心话,关系坦白,否,v9-expansion,关于确认关系，你最害怕别人发现你的哪种想法？
v9-t3-1017,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在想逃避问题时愿意说真话？为什么？
v9-t3-1018,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在工作机会和关系之间做选择，你会怎么做？
v9-t3-1019,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“稳定回应”时，你最容易突然心动吗？
v9-t3-1020,大胆,真心话,关系坦白,否,v9-expansion,关于发生争吵，你最害怕别人发现你的哪种想法？
v9-t3-1021,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中长期记仇的人？可以只说特质。
v9-t3-1022,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在出国机会和关系之间做选择，你会怎么做？
v9-t3-1023,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“尊重你的拒绝”时，你最容易突然心动吗？
v9-t3-1024,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少耐心而逐渐失望吗？
v9-t3-1025,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历面对舆论压力，你会选谁？
v9-t3-1026,大胆,真心话,边界与信任,否,v9-expansion,关于手机隐私，你的底线是否曾经因为一个人而改变？
v9-t3-1027,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把感动误认为爱情或喜欢？后来怎样发现的？
v9-t3-1028,大胆,真心话,关系坦白,否,v9-expansion,你在喜欢一个人这件事上做过最不坦诚的选择是什么？
v9-t3-1029,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历参加重要比赛，你会选谁？
v9-t3-1030,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在经济安全和关系之间做选择，你会怎么做？
v9-t3-1031,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为时机不对错过一个可能喜欢你的人吗？
v9-t3-1032,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少理解，你会努力修复还是离开？
v9-t3-1033,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历一起搬家，你会选谁？
v9-t3-1034,大胆,真心话,边界与信任,否,v9-expansion,关于共同账号，你的底线是否曾经因为一个人而改变？
v9-t3-1035,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为工作压力错过一个可能喜欢你的人吗？
v9-t3-1036,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少坦诚而逐渐失望吗？
v9-t3-1037,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在被误解时愿意说真话？为什么？
v9-t3-1038,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在财务状况上对你有所保留吗？
v9-t3-1039,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“保护你的边界”时，你最容易突然心动吗？
v9-t3-1040,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少行动而逐渐失望吗？
v9-t3-1041,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历共同创业，你会选谁？
v9-t3-1042,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“向别人泄露争吵细节”时，你会把它视为背叛吗？
v9-t3-1043,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于错过约会的决定？
v9-t3-1044,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少热情的关系还能维持多久？
v9-t3-1045,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历完成高压项目，你会选谁？
v9-t3-1046,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“把你当备选”时，你会把它视为背叛吗？
v9-t3-1047,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为担心失去朋友错过一个可能喜欢你的人吗？
v9-t3-1048,大胆,真心话,关系坦白,否,v9-expansion,关于感到嫉妒，你最害怕别人发现你的哪种想法？
v9-t3-1049,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历被困陌生城市，你会选谁？
v9-t3-1050,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在独立生活和关系之间做选择，你会怎么做？
v9-t3-1051,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为不敢主动错过一个可能喜欢你的人吗？
v9-t3-1052,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少沟通，你会努力修复还是离开？
v9-t3-1053,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历一周旅行，你会选谁？
v9-t3-1054,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在过去的错误上对你有所保留吗？
v9-t3-1055,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把拯救欲误认为爱情或喜欢？后来怎样发现的？
v9-t3-1056,大胆,真心话,关系坦白,否,v9-expansion,你有没有在自己犯错时故意隐藏真实感受？为什么？
v9-t3-1057,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中隐藏不安的人？可以只说特质。
v9-t3-1058,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在最好的朋友和关系之间做选择，你会怎么做？
v9-t3-1059,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于拒绝复合的决定？
v9-t3-1060,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少稳定回应的关系还能维持多久？
v9-t3-1061,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历创业失败，你会选谁？
v9-t3-1062,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“查看你的私人信息”时，你会把它视为背叛吗？
v9-t3-1063,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把内疚误认为爱情或喜欢？后来怎样发现的？
v9-t3-1064,大胆,真心话,关系坦白,否,v9-expansion,你在需要被安慰这件事上做过最不坦诚的选择是什么？
v9-t3-1065,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中很会制造惊喜的人？可以只说特质。
v9-t3-1066,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“隐瞒重要联系”时，你会把它视为背叛吗？
v9-t3-1067,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于告白的决定？
v9-t3-1068,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少尊重，你会努力修复还是离开？
v9-t3-1069,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在做错事时愿意说真话？为什么？
v9-t3-1070,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在朋友圈关系上对你有所保留吗？
v9-t3-1071,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把同情误认为爱情或喜欢？后来怎样发现的？
v9-t3-1072,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少热情，你会努力修复还是离开？
v9-t3-1073,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“用行动证明”的方式表达？
v9-t3-1074,大胆,真心话,边界与信任,否,v9-expansion,关于社交自由，你的底线是否曾经因为一个人而改变？
v9-t3-1075,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为家庭意见错过一个可能喜欢你的人吗？
v9-t3-1076,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少信任而逐渐失望吗？
v9-t3-1077,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在陷入纠结时愿意说真话？为什么？
v9-t3-1078,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“在关键时刻逃避责任”时，你会把它视为背叛吗？
v9-t3-1079,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于复合的决定？
v9-t3-1080,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少共同目标的关系还能维持多久？
v9-t3-1081,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中习惯冷处理的人？可以只说特质。
v9-t3-1082,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在健康状况上对你有所保留吗？
v9-t3-1083,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“坚定选择你”时，你最容易突然心动吗？
v9-t3-1084,大胆,真心话,关系坦白,否,v9-expansion,你有没有在感到嫉妒时故意隐藏真实感受？为什么？
v9-t3-1085,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“认真准备一次约会”的方式表达？
v9-t3-1086,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在过去的感情上对你有所保留吗？
v9-t3-1087,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“坦白脆弱”时，你最容易突然心动吗？
v9-t3-1088,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少亲密感，你会努力修复还是离开？
v9-t3-1089,大胆,真心话,现场选择,否,v9-expansion,现场谁最像会在关系中主动沟通的人？可以只说特质。
v9-t3-1090,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在一段旧关系和关系之间做选择，你会怎么做？
v9-t3-1091,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“记住细节”时，你最容易突然心动吗？
v9-t3-1092,大胆,真心话,关系坦白,否,v9-expansion,关于准备告别，你最害怕别人发现你的哪种想法？
v9-t3-1093,大胆,真心话,现场选择,否,v9-expansion,如果必须与现场一位玩家一起经历处理家庭危机，你会选谁？
v9-t3-1094,大胆,真心话,边界与信任,否,v9-expansion,关于生活规划，你的底线是否曾经因为一个人而改变？
v9-t3-1095,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“果断行动”时，你最容易突然心动吗？
v9-t3-1096,大胆,真心话,关系坦白,否,v9-expansion,关于信任动摇，你最害怕别人发现你的哪种想法？
v9-t3-1097,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在信任动摇时愿意说真话？为什么？
v9-t3-1098,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在个人隐私和关系之间做选择，你会怎么做？
v9-t3-1099,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为现实条件错过一个可能喜欢你的人吗？
v9-t3-1100,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少沟通而逐渐失望吗？
v9-t3-1101,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“写一封信”的方式表达？
v9-t3-1102,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“故意制造嫉妒”时，你会把它视为背叛吗？
v9-t3-1103,大胆,真心话,心动与遗憾,否,v9-expansion,如果可以重来一次，你最想改变哪次关于见最后一面的决定？
v9-t3-1104,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少边界，你会努力修复还是离开？
v9-t3-1105,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“约你单独见面”的方式表达？
v9-t3-1106,大胆,真心话,边界与信任,否,v9-expansion,如果对方要求你在家庭意见和关系之间做选择，你会怎么做？
v9-t3-1107,大胆,真心话,心动与遗憾,否,v9-expansion,你有没有把新鲜感误认为爱情或喜欢？后来怎样发现的？
v9-t3-1108,大胆,真心话,关系坦白,否,v9-expansion,如果一段关系长期缺少共同目标，你会努力修复还是离开？
v9-t3-1109,大胆,真心话,现场选择,否,v9-expansion,如果现场有人对你产生好感，你最希望对方用“先询问你的感受”的方式表达？
v9-t3-1110,大胆,真心话,边界与信任,否,v9-expansion,你能接受重要的人在职业计划上对你有所保留吗？
v9-t3-1111,大胆,真心话,心动与遗憾,否,v9-expansion,你曾经因为不确定对方态度错过一个可能喜欢你的人吗？
v9-t3-1112,大胆,真心话,关系坦白,否,v9-expansion,你曾经因为一段关系缺少个人空间而逐渐失望吗？
v9-t3-1113,大胆,真心话,现场选择,否,v9-expansion,现场谁最可能让你在想重新开始时愿意说真话？为什么？
v9-t3-1114,大胆,真心话,边界与信任,否,v9-expansion,重要的人做出“和你讨厌的人走得很近”时，你会把它视为背叛吗？
v9-t3-1115,大胆,真心话,心动与遗憾,否,v9-expansion,对方做出“承认自己的错误”时，你最容易突然心动吗？
v9-t3-1116,大胆,真心话,关系坦白,否,v9-expansion,你认为缺少承诺的关系还能维持多久？
